date,total_value,cash,positions_value,num_positions,regime,peak_value,drawdown,exposure_pct,daily_return
2014-01-02,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,
2014-01-03,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-06,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-07,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-08,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-09,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-10,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-13,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-14,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-15,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-16,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-17,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-21,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-22,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-23,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-24,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-27,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-28,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-29,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-30,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-01-31,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-03,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-04,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-05,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-06,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-07,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-10,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-11,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-12,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-13,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-14,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-18,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-19,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-20,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-21,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-24,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-25,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-26,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-27,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-02-28,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-03,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-04,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-05,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-06,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-07,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-10,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-11,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-12,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-13,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-14,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-17,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-18,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-19,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-20,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-21,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-24,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-25,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-26,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-27,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-28,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-03-31,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-01,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-02,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-03,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-04,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-07,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-08,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-09,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-10,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-11,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-14,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
2014-04-15,100000.0,100000.0,0.0,0,NEUTRAL_BULLISH,100000.0,0.0,0.0,0.0
